Sequence_ID,GC_content
PsbA-nuc-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___fe52ada01a80c3ea3185665b2866cfec27410e4357200bfce3092952,48.47
PsbA-nuc-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___67673890c98de50928476d9302cc4753d51595ded136ccb2600be8d0,44.48
PsbA-nuc-Anabaena_sp_4-3.fa_2Z87P.faa.final_tree.fa___photo_hmms___85a6a06043930b3fa2dd61510546edf3fd28a82d66716ebdf06cd334,48.79
PsbA-nuc-Anabaena_sp_90.fa_2Z87P.faa.final_tree.fa___photo_hmms___a39f0c123d6537bf066b25907f4ae9e499266ef00cc379d9d6913900,46.17
PsbA-nuc-Anabaena_sp_90.fa_2Z87P.faa.final_tree.fa___photo_hmms___feaa5bc939dbf70aec42a692b195576765cb66eb347fa77b1422347b,46.17
PsbA-nuc-Anabaena_sp_90.fa_2Z87P.faa.final_tree.fa___photo_hmms___344bd9bee8c3566352376911a5775996c440054ca12bd31ad02f3c45,49.05
PsbA-nuc-Anabaena_sp_90.fa_2Z87P.faa.final_tree.fa___photo_hmms___4f7ab16115c241780ff2ccaa1bd863a8d7e206ca6eedf1d8b7586a14,48.77
PsbA-nuc-Anabaena_sp_90.fa_2Z87P.faa.final_tree.fa___photo_hmms___e864329282985ba2bd426db2a269dca4028bec1b28b1a8bc8ca05f12,47.0
PsbA-nuc-Anabaena_sp_AL93.fa_2Z87P.faa.final_tree.fa___photo_hmms___1a704cbcc88c3d921e838092c1f23a9b174811e631db69f018bd4e44,47.0
PsbA-nuc-Anabaena_sp_AL93.fa_2Z87P.faa.final_tree.fa___photo_hmms___7cbf4ff4155b0a276d1eb4d1d2f99bc8aee8873820af143fbf28d354,45.95
PsbA-nuc-Anabaena_sp_AL93.fa_2Z87P.faa.final_tree.fa___photo_hmms___cf9df658e94b166fbaf11568d7e1ecb94a0cc0d6c07a007d7fe7649b,45.72
PsbA-nuc-Anabaena_sp_AL93.fa_2Z87P.faa.final_tree.fa___photo_hmms___291866c4f88758a28d60ed887ab6c5a88ac7d5aa80d5b5a3592b1936,48.96
PsbA-nuc-Anabaena_sp_AL93.fa_2Z87P.faa.final_tree.fa___photo_hmms___df148af1e3288fabdc1468a1bd1903616d9741366b83c7836cc1dd89,48.44
PsbA-nuc-Anabaena_sp_AL93.fa_2Z87P.faa.final_tree.fa___photo_hmms___3008d837e892614000821a4b0b8a0d62a1deeb2d3d4928e96b184987,48.39
PsbA-nuc-Anabaena_sp_AL93.fa_2Z87P.faa.final_tree.fa___photo_hmms___d41b1b61296a548ee037ae8e3f0d908bd1fe8a0ec3e0e8ad54b49ae7,47.01
PsbA-nuc-Anabaena_sp_CRKS33.fa_2Z87P.faa.final_tree.fa___photo_hmms___0e00059589ecae17346c5b530e7ea9743402f523a58eaeac327fe4a2,47.88
PsbA-nuc-Anabaena_sp_CRKS33.fa_2Z87P.faa.final_tree.fa___photo_hmms___b1896228a4ecfafac69aa9173396834c807318c475916963854cba75,47.3
PsbA-nuc-Anabaena_sp_CRKS33.fa_2Z87P.faa.final_tree.fa___photo_hmms___0f09d7400a25cff24cafa6f63df3d70b2cd684535404c55ce9ab9bdd,49.45
PsbA-nuc-Anabaena_sp_CRKS33.fa_2Z87P.faa.final_tree.fa___photo_hmms___995a7a33aafc8e022459e1cb4d5d3955bd0e4ce8263ca7936f07cb8a,43.29
PsbA-nuc-Anabaena_sp_CRKS33.fa_2Z87P.faa.final_tree.fa___photo_hmms___23f7efbac8b45a625920716ebf9626d1d25ce3e9d997641c26100dd5,42.82
PsbA-nuc-Anabaena_sp_PCC_7108.fa_2Z87P.faa.final_tree.fa___photo_hmms___d067170b118a29c23c66435f7e5ad1e8fc4233160dd058b30c9565c5,47.74
PsbA-nuc-Anabaena_sp_PCC_7108.fa_2Z87P.faa.final_tree.fa___photo_hmms___6c95eac9f9f823ef8148f24150a8eca29ef58dbdd0c61f05878e2a9a,48.01
PsbA-nuc-Anabaena_sp_PCC_7108.fa_2Z87P.faa.final_tree.fa___photo_hmms___a91818ed054efcaf417403c81a6bf00ae67b2e1d51e2f347cefc891c,49.72
PsbA-nuc-Anabaena_sp_PCC_7108.fa_2Z87P.faa.final_tree.fa___photo_hmms___17367656a3596cce655285ecb3852d420922107910203d2d272aed71,41.46
PsbA-nuc-Anabaena_sp_PCC_7108.fa_2Z87P.faa.final_tree.fa___photo_hmms___2b8960dea2465017234c55a54bdaa6e85b586515d9694a27013419d9,41.09
PsbA-nuc-Anabaena_sp_PCC_7108.fa_2Z87P.faa.final_tree.fa___photo_hmms___6ecfe7d77d2ec5de0694790b9f1ea914ac5a990b312b457ef972b23a,46.95
PsbA-nuc-Anabaena_sp_PCC_7108.fa_2Z87P.faa.final_tree.fa___photo_hmms___a2f130016ee8e667293f61cea079787e9247f7e432793a32a4510309,49.05
PsbA-nuc-Anabaena_sp_WA102.fa_2Z87P.faa.final_tree.fa___photo_hmms___2cb1e0ae7b940ed483a804a1f95cb922d190c699303bbc99b0f07289,48.58
PsbA-nuc-Anabaena_sp_WA102.fa_2Z87P.faa.final_tree.fa___photo_hmms___59f013453fb64d33496ba04ee7d3ad77792d840fa3eb1757a7b70810,49.05
PsbA-nuc-Anabaena_sp_WA102.fa_2Z87P.faa.final_tree.fa___photo_hmms___ba35da03cb44c1201b37cb708b939b1dae9108fa203f575d037e9dc0,47.0
PsbA-nuc-Anabaena_sp_WA102.fa_2Z87P.faa.final_tree.fa___photo_hmms___f654a2f502337af3e9d2a76662bcf497826cbd672a5974dfcd5bbb0e,47.74
PsbA-nuc-Anabaena_sp_WA102.fa_2Z87P.faa.final_tree.fa___photo_hmms___725fd25b37863a09c1d19970317332a2e7c8157d045c77d44193ef52,47.55
PsbA-nuc-Anabaena_sp_YBS01.fa_2Z87P.faa.final_tree.fa___photo_hmms___0560bf5a58d3c382b1199a57eac66760b8c009e29ad8938bdf34cf4b,43.83
PsbA-nuc-Anabaena_sp_YBS01.fa_2Z87P.faa.final_tree.fa___photo_hmms___cbe4b4c4b790936ebcb5487eccbeec74bc5c16357ed41ecd01ba821f,45.8
PsbA-nuc-Anabaena_sp_YBS01.fa_2Z87P.faa.final_tree.fa___photo_hmms___452b63131e22e0dfe917965bc454020669b43e6bde297cde5cd697f5,51.78
PsbA-nuc-Anabaena_sp_YBS01.fa_2Z87P.faa.final_tree.fa___photo_hmms___3efd5f64e5d9e1a389faeb0b363db0b36005716dd2504d6cb02cee95,41.83
PsbA-nuc-Anabaena_sp_YBS01.fa_2Z87P.faa.final_tree.fa___photo_hmms___a7f8218710008e9babdd1e38b250f9d98c00c921733651461e4c6f14,50.46
PsbA-nuc-Anabaena_sp_YBS01.fa_2Z87P.faa.final_tree.fa___photo_hmms___b59fe8f94f5f70c8a1357a6dcea7b831ae2b48bbacf8b49a89ab75e7,46.58
PsbA-nuc-Anthocerotibacter_panamensis_C109.fa_2Z87P.faa.final_tree.fa___photo_hmms___25f376c2171cb5bb76d84e1f65b0ff37b0da6a32eb205a1e9a657889,56.31
PsbA-nuc-Anthocerotibacter_panamensis_C109.fa_2Z87P.faa.final_tree.fa___photo_hmms___c634f666dd03c84c99701f0a3cff0b8cf8d4d65ba0aaf17d05dc8628,55.37
PsbA-nuc-Anthocerotibacter_panamensis_C109.fa_2Z87P.faa.final_tree.fa___photo_hmms___a6e0e18a061a575b7f0bc8c4e94507db1a73e586d1d95ec65998d8b3,56.12
PsbA-nuc-Anthocerotibacter_panamensis_C109.fa_2Z87P.faa.final_tree.fa___photo_hmms___0c77396e2dbe3e43bf7aa595a622434994f0238b8aeee4256b3d95ea,54.67
PsbA-nuc-Aphanizomenon_flos-aquae_LD13.fa_2Z87P.faa.final_tree.fa___photo_hmms___02c2ec8ace099ce841028663fc1b56b91ba930e81c7278ae20eb63ea,44.26
PsbA-nuc-Aphanizomenon_flos-aquae_LD13.fa_2Z87P.faa.final_tree.fa___photo_hmms___3abe025ec683c843baaef44006381438e166fcffcc55b102587251ef,46.35
PsbA-nuc-Aphanizomenon_flos-aquae_LD13.fa_2Z87P.faa.final_tree.fa___photo_hmms___ebbac50b1884bd0b043ccec748eb2952c4b9f4dce750a56e3f6132cb,45.39
PsbA-nuc-Aphanizomenon_flos-aquae_LD13.fa_2Z87P.faa.final_tree.fa___photo_hmms___0f931b2b161c48c6cb2a865a341a27717c2882f3df9dda5ddd4be4cf,48.21
PsbA-nuc-Aphanizomenon_flos-aquae_LD13.fa_2Z87P.faa.final_tree.fa___photo_hmms___0caea905a515f122b31c52e9cbe7e42b20c8e5faa0cc846ebfa38816,44.36
PsbA-nuc-Aphanizomenon_flos-aquae_LD13.fa_2Z87P.faa.final_tree.fa___photo_hmms___73abb4a7f63394b736b3ef452668c18716b08f6203a2f25f4af9bab5,45.39
PsbA-nuc-Aphanizomenon_flos-aquae_MDT14a.fa_2Z87P.faa.final_tree.fa___photo_hmms___30e0b3b0ee5f781dc6faf2aeb133a1551a5a6c3c50d6b3ab2f5f07ec,44.23
PsbA-nuc-Aphanizomenon_flos-aquae_MDT14a.fa_2Z87P.faa.final_tree.fa___photo_hmms___b427b33cd3aaa954ce498abb69a751aae19a7945df0d815d8b4fb3e3,45.83
PsbA-nuc-Aphanizomenon_flos-aquae_MDT14a.fa_2Z87P.faa.final_tree.fa___photo_hmms___8699095b965a6e05169e39d4abd54b0342ced9ef4e60c6bb8bf2e6ee,44.93
PsbA-nuc-Aphanizomenon_flos-aquae_MDT14a.fa_2Z87P.faa.final_tree.fa___photo_hmms___676fc78833799e1422c32269f2e9f1c81a052e0dfc8765b46deca00a,46.17
PsbA-nuc-Aphanizomenon_flos-aquae_MDT14a.fa_2Z87P.faa.final_tree.fa___photo_hmms___a2dcffb3148e4d309be0faa002d8085f377dad0acab2146fb22b5fff,48.39
PsbA-nuc-Aphanizomenon_flos-aquae_UKL13-PB.fa_2Z87P.faa.final_tree.fa___photo_hmms___881ab7bb692e969fb0b6d702342e197ec4f7489aeb0e8538447df34e,47.82
PsbA-nuc-Aphanizomenon_flos-aquae_UKL13-PB.fa_2Z87P.faa.final_tree.fa___photo_hmms___6d60ad0afd74573ad7336f32852ec749a89e32f4fd746d09d855095f,44.14
PsbA-nuc-Aphanizomenon_flos-aquae_UKL13-PB.fa_2Z87P.faa.final_tree.fa___photo_hmms___a457215c3c045a430095283e64bdba30252d038153ed3d0348d904f7,44.14
PsbA-nuc-Aphanizomenon_flos-aquae_UKL13-PB.fa_2Z87P.faa.final_tree.fa___photo_hmms___2a4e55cf875c0e6c751ebb9531d7db5a0e4ff7c208eb092d8d4203b2,44.97
PsbA-nuc-Aphanizomenon_flos-aquae_UKL13-PB.fa_2Z87P.faa.final_tree.fa___photo_hmms___c4950b9af7f525a83a8fe5be87210565d9404cf3251ee277c8a3577d,48.11
PsbA-nuc-Arthrospira_sp_PCC_9108.fa_2Z87P.faa.final_tree.fa___photo_hmms___0212797ee1cebcb0f613866136e13c217e8fd13c762097e57a85b2c9,51.27
PsbA-nuc-Arthrospira_sp_PCC_9108.fa_2Z87P.faa.final_tree.fa___photo_hmms___5571c5aecb0530bbfd6decd6361641b168a13d110de8a42e78548cae,51.75
PsbA-nuc-Arthrospira_sp_PCC_9108.fa_2Z87P.faa.final_tree.fa___photo_hmms___0c9e2c2d3c2f9459eff8d877e9b827b00b2e6d90ad101fb7fd636baa,50.65
PsbA-nuc-Arthrospira_sp_PCC_9108.fa_2Z87P.faa.final_tree.fa___photo_hmms___d16c5cc924db8afde5b9f329228c1d1ce0425fd6eacb86bd753332ad,50.65
PsbA-nuc-Arthrospira_sp_PCC_9108.fa_2Z87P.faa.final_tree.fa___photo_hmms___40c69562a8781ea13b9359b4da39c413b403c430211689248f229860,43.44
PsbA-nuc-Arthrospira_sp_PCC_9108.fa_2Z87P.faa.final_tree.fa___photo_hmms___854f2719bb3951894c719ddf2ce32f25b1651fa6592b0d2be75ca47a,50.46
PsbA-nuc-Arthrospira_sp_PCC_9108.fa_2Z87P.faa.final_tree.fa___photo_hmms___5d9516b4754accc242eadb81a4c7ab15dd8ea8fdac506ba396ba06bd,50.56
PsbA-nuc-Calothrix_sp_336_3.fa_2Z87P.faa.final_tree.fa___photo_hmms___50fccc81e8a803b7c203998cedc27da991e1aab6e851a21a0098c3d0,49.4
PsbA-nuc-Calothrix_sp_336_3.fa_2Z87P.faa.final_tree.fa___photo_hmms___eff106c553fefafd6cfc8c8deaf63402a6bf070c2fd6a584aaa232bc,50.19
PsbA-nuc-Calothrix_sp_336_3.fa_2Z87P.faa.final_tree.fa___photo_hmms___d5f5dc234268f769cea52eb136cbffc4d00922c1469c8fa33713691b,46.17
PsbA-nuc-Calothrix_sp_336_3.fa_2Z87P.faa.final_tree.fa___photo_hmms___3b46f20941eafccdf60b1d0bcb3c2e48ba95131268b1ff009c5c80e9,49.58
PsbA-nuc-Calothrix_sp_336_3.fa_2Z87P.faa.final_tree.fa___photo_hmms___ac2733ace0752ba6936e7d3a65f7c9c1194866708d7b362a992a5d40,50.38
PsbA-nuc-Calothrix_sp_HK-06.fa_2Z87P.faa.final_tree.fa___photo_hmms___27d00db28cb060d8865e00da0dcddddb5ace437b476cf48bbd53e18e,46.81
PsbA-nuc-Calothrix_sp_HK-06.fa_2Z87P.faa.final_tree.fa___photo_hmms___835d3ed345a4a1b700c62522a4f0412006170b4c6bebafa1f7f17d4f,51.41
PsbA-nuc-Calothrix_sp_HK-06.fa_2Z87P.faa.final_tree.fa___photo_hmms___136a099accb5344c6f6fafc2b546241365baa3ae6ae631626ff81942,48.44
PsbA-nuc-Calothrix_sp_HK-06.fa_2Z87P.faa.final_tree.fa___photo_hmms___56c375e692fc8b82d80c5491190e1fa6fbc2e3923dd85ed54644a1f9,48.29
PsbA-nuc-Calothrix_sp_HK-06.fa_2Z87P.faa.final_tree.fa___photo_hmms___97c334d83f55638cec7ae0551f54b159308307ec7d2a2e2501b9f14e,42.79
PsbA-nuc-Calothrix_sp_HK-06.fa_2Z87P.faa.final_tree.fa___photo_hmms___61cccb824e48346cd92d5e1ef3d26c34b3f272fba7c9faf8170fff4c,45.89
PsbA-nuc-Calothrix_sp_HK-06.fa_2Z87P.faa.final_tree.fa___photo_hmms___256c702ed694c503fec7e532b1bc5834fdeb8d678eafe00350dd5c95,46.55
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___437f6eb4ac79e8d24c07d80da18fbbed9eee21545e2b410918b744d7,44.78
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___9129206a7cb4cef0e6d10fca9f9b10bdaa3929b87392e1094c292b66,50.51
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___64cd19586fcb3654e1df00a0783f474e5b0a1e8ace6ee1ab2637af71,50.47
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___0619ab0b86eb0770d61b24fad44d9b55853a828f6708f5c73affb703,50.23
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___25ee58b5fb65ecc525b4a581067ea5d4155bd6c8969656578ec83db2,48.94
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___c4ea9fa30899694f62850cd9297057ce49816cfcc39b5a977fa70f33,43.6
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___a90c06aef962df1850b78af447085a898a02a2eae8a31a53ab0f9776,45.98
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___87661dfbc12e0e7517dcc3fc3dd2854c5e55a350919334b56db7abaa,50.85
PsbA-nuc-Calothrix_sp_NIES-2098.fa_2Z87P.faa.final_tree.fa___photo_hmms___4b6a3f00012ca6a0ac6492ae012c4ee2df5665de21ec44fb8e79d74f,50.69
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___479a87a9bc76fe0df5dd6b22eb25c07e8aaffa76ee537f9936dab8c3,52.41
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___8454aae1977f84d0ae2174c23929a69488ad945bdff7df771787dec0,45.98
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___b969387c2807d6ba4bf15e934e49919b52095319c6cf19146190d136,45.42
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___d774a292be2d84e4dac9988fd10782c60e19a3f8298a7b9c442156fe,44.6
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___b42ea93d646bbbf394d3b0310bda67cb96fe7da921d06a4f99d42645,42.09
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___a6dcda32657db1e6cd5edd98783c0643c94fa8cb530e0fb25a32c348,49.58
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___6047417f40a89f71cba7250906148913417607c7774f8e03151d2db1,52.5
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___63f64442a8ea625c2fe4984bfd4ac51d089896e8a4da8886b8919bd7,49.58
PsbA-nuc-Calothrix_sp_NIES-3974.fa_2Z87P.faa.final_tree.fa___photo_hmms___6e04f59ce1c862d83e5554eba07fb7a0774f7ccc45e313299a5e41ae,44.91
PsbA-nuc-Calothrix_sp_NIES-4071.fa_2Z87P.faa.final_tree.fa___photo_hmms___bdbe7047935afe0d4d9e7008f125a2fa771de0126b3598e4e5c42dcd,46.27
PsbA-nuc-Calothrix_sp_NIES-4071.fa_2Z87P.faa.final_tree.fa___photo_hmms___e22948cf7fb48cdcd0239f9cdd7f507e8af22f09f2049878310eb897,46.08
PsbA-nuc-Calothrix_sp_NIES-4071.fa_2Z87P.faa.final_tree.fa___photo_hmms___62e23fee1141ac6de73cb82da0793896bcd4875311064e0e4b1c7b43,45.89
PsbA-nuc-Calothrix_sp_NIES-4071.fa_2Z87P.faa.final_tree.fa___photo_hmms___f8e5716cfd23a19c20d288ea1f46a40504210b416bfc59a004928180,48.25
PsbA-nuc-Calothrix_sp_NIES-4071.fa_2Z87P.faa.final_tree.fa___photo_hmms___bdd3ea01966cf054f75340e3e13491c890957466f1ebe110c76d2cef,46.81
PsbA-nuc-Calothrix_sp_NIES-4071.fa_2Z87P.faa.final_tree.fa___photo_hmms___3d90d1be84828369700bd76f8b8a321bee35550ed90676d36440f607,47.46
PsbA-nuc-Calothrix_sp_NIES-4071.fa_2Z87P.faa.final_tree.fa___photo_hmms___36cbe5bd7431be115d822ed4fdc4363129fe18639affd9991273f234,47.37
PsbA-nuc-Calothrix_sp_PCC_6303.fa_2Z87P.faa.final_tree.fa___photo_hmms___0d9e7fc3714eab67c26fd4c718d6efcbd5358da87c9f8c7318df38ab,48.38
PsbA-nuc-Calothrix_sp_PCC_6303.fa_2Z87P.faa.final_tree.fa___photo_hmms___ddf2320bb2772c30983268bdef66893c62f0f6b1dfd925662f66f022,48.01
PsbA-nuc-Calothrix_sp_PCC_6303.fa_2Z87P.faa.final_tree.fa___photo_hmms___0e7b720b5fb143bb266b6f29b73313ba44b3df93c80b20b82f7cc8fb,47.63
PsbA-nuc-Calothrix_sp_PCC_6303.fa_2Z87P.faa.final_tree.fa___photo_hmms___6cc59b9cbdf6d4c072d678e60404d6d8f856dbe2c9f4506c08faf634,47.82
PsbA-nuc-Calothrix_sp_PCC_6303.fa_2Z87P.faa.final_tree.fa___photo_hmms___a424ec56a70a053a0c5d3ce5d6b8f2f412a2322f16d5d04faf74ccb4,45.37
PsbA-nuc-Calothrix_sp_PCC_6303.fa_2Z87P.faa.final_tree.fa___photo_hmms___d82658869e52a0a4f4c01905501c381174eafe4737a52708db07c8f4,47.92
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___110ce5fd059e5912e3f17ecc8143385ec616203ff8ca6fa5c0055735,47.74
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___86b71b57916f967e4a065e396e71c460b772cfb8fb0c45bd6c4bd95c,46.08
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___2dab3f1bd86e07615125fd625229ee6e28ec2c5d7070b9dc1a92c645,46.45
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___ea1bd306369dde274d18145702f5250068a5f46b773c381519688241,45.98
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___564ccb3d1adb864e2b1253522e88b416af0cc4893778d30b32b8801b,48.35
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___ffa65c78d66b32f00759cab1a4ed45ba14abacef29a35e5904d8ff45,47.0
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___754792c850e1c2dd18a04a9785bb87ba054c2493e07aa28ac528f244,47.37
PsbA-nuc-Calothrix_sp_PCC_7103.fa_2Z87P.faa.final_tree.fa___photo_hmms___63083ab50c7aa5148b6eac10703d135c4419ddbc21c2ff3ab38d3e6c,43.67
PsbA-nuc-Calothrix_sp_PCC_7507.fa_2Z87P.faa.final_tree.fa___photo_hmms___c23abd2149a640f80210e71b684630a8e1cae448bfbb5bfd1ad3eee7,45.7
PsbA-nuc-Calothrix_sp_PCC_7507.fa_2Z87P.faa.final_tree.fa___photo_hmms___a84677e24126dc4a60af59d7ade16b31e56e9bbfb3151b16784877e8,46.89
